date,p_open,p_high,p_low,volume,b_id,b_name,id,platform,quote_rate,p_close,p_prev_close,turnover,trade_date
2018-08-08,811.121,813.053,799.476,31892600000.0,883957,同花顺全A,3501,1,-1.5855,800.167,813.058,305055000000.0,20180808
2018-08-09,796.509,821.461,795.194,35074800000.0,883957,同花顺全A,3502,1,2.2504,818.174,800.167,346388000000.0,20180809
2018-08-10,817.279,823.867,815.926,28087500000.0,883957,同花顺全A,3503,1,0.6453,823.454,818.174,288010000000.0,20180810
2018-08-13,813.255,826.246,809.686,28783100000.0,883957,同花顺全A,3504,1,0.3103,826.009,823.454,299971000000.0,20180813
2018-08-14,824.583,828.721,822.688,26132900000.0,883957,同花顺全A,3505,1,-0.0324,825.741,826.009,268151000000.0,20180814
2018-08-15,825.193,825.59,808.882,27887100000.0,883957,同花顺全A,3506,1,-1.9739,809.442,825.741,277299000000.0,20180815
2018-08-16,799.447,810.453,792.176,27351800000.0,883957,同花顺全A,3507,1,-1.0348,801.066,809.442,269845000000.0,20180816
2018-08-17,806.449,809.633,784.703,26382800000.0,883957,同花顺全A,3508,1,-1.8666,786.113,801.066,261990000000.0,20180817
2018-08-20,784.297,790.467,773.597,25945200000.0,883957,同花顺全A,3509,1,0.5539,790.467,786.113,263946000000.0,20180820
2018-08-21,789.981,800.328,787.784,26068400000.0,883957,同花顺全A,3510,1,1.1178,799.303,790.467,278753000000.0,20180821
2018-08-22,797.266,797.736,789.346,22686600000.0,883957,同花顺全A,3511,1,-1.1903,789.789,799.303,229130000000.0,20180822
2018-08-23,788.63,797.971,788.02,23807500000.0,883957,同花顺全A,3512,1,0.6649,795.04,789.789,251664000000.0,20180823
2018-08-24,793.624,798.194,790.865,23393800000.0,883957,同花顺全A,3513,1,-0.2641,792.94,795.04,236246000000.0,20180824
2018-08-27,793.555,809.174,793.555,31006300000.0,883957,同花顺全A,3514,1,2.0473,809.174,792.94,322554000000.0,20180827
2018-08-28,809.217,811.702,807.153,27951600000.0,883957,同花顺全A,3515,1,0.1629,810.492,809.174,289784000000.0,20180828
2018-08-29,809.469,809.632,803.896,24704800000.0,883957,同花顺全A,3516,1,-0.5486,806.046,810.492,245541000000.0,20180829
2018-08-30,805.103,806.951,792.798,26236700000.0,883957,同花顺全A,3517,1,-1.5962,793.18,806.046,252429000000.0,20180830
2018-08-31,790.762,792.105,782.921,24827300000.0,883957,同花顺全A,3518,1,-1.1247,784.259,793.18,248330000000.0,20180831
2018-09-03,782.657,783.349,770.868,24713600000.0,883957,同花顺全A,3519,1,-0.1443,783.127,784.259,242830000000.0,20180903
2018-09-04,782.315,794.063,781.596,27012700000.0,883957,同花顺全A,3520,1,1.2577,792.976,783.127,267730000000.0,20180904
2018-09-05,791.193,795.089,782.485,27082300000.0,883957,同花顺全A,3521,1,-1.323,782.485,792.976,258466000000.0,20180905
2018-09-06,779.857,787.721,776.738,24297700000.0,883957,同花顺全A,3522,1,-0.3236,779.953,782.485,249217000000.0,20180906
2018-09-07,780.47,790.49,776.755,26761000000.0,883957,同花顺全A,3523,1,0.2781,782.122,779.953,271898000000.0,20180907
2018-09-10,781.345,781.52,766.588,25823000000.0,883957,同花顺全A,3524,1,-1.9387,766.959,782.122,247198000000.0,20180910
2018-09-11,766.362,772.772,762.892,23540300000.0,883957,同花顺全A,3525,1,0.2621,768.969,766.959,220862000000.0,20180911
2018-09-12,768.561,774.595,766.346,21785000000.0,883957,同花顺全A,3526,1,0.0942,769.693,768.969,217587000000.0,20180912
2018-09-13,774.911,778.19,766.402,25378700000.0,883957,同花顺全A,3527,1,0.8905,776.547,769.693,258546000000.0,20180913
2018-09-14,776.908,777.799,768.345,25949900000.0,883957,同花顺全A,3528,1,-1.0347,768.512,776.547,249858000000.0,20180914
2018-09-17,764.63,764.63,753.544,22880200000.0,883957,同花顺全A,3529,1,-1.7015,755.436,768.512,206066000000.0,20180917
2018-09-18,753.061,768.984,752.843,27596900000.0,883957,同花顺全A,3530,1,1.7934,768.984,755.436,253397000000.0,20180918
2018-09-19,767.418,782.188,766.14,34032600000.0,883957,同花顺全A,3531,1,1.1132,777.544,768.984,318787000000.0,20180919
2018-09-20,776.711,780.191,774.816,28854800000.0,883957,同花顺全A,3532,1,-0.2212,775.824,777.544,250105000000.0,20180920
2018-09-21,777.062,786.244,774.146,35503800000.0,883957,同花顺全A,3533,1,1.2609,785.606,775.824,321072000000.0,20180921
2018-09-25,781.221,785.32,779.242,26076400000.0,883957,同花顺全A,3534,1,-0.3217,783.079,785.606,241563000000.0,20180925
2018-09-26,783.583,789.833,781.946,32211200000.0,883957,同花顺全A,3535,1,0.4103,786.292,783.079,310118000000.0,20180926
2018-09-27,785.667,785.667,772.066,31215000000.0,883957,同花顺全A,3536,1,-1.8093,772.066,786.292,282572000000.0,20180927
2018-09-28,772.354,779.46,772.128,28888300000.0,883957,同花顺全A,3537,1,0.9577,779.46,772.066,261050000000.0,20180928
2018-10-08,767.5,768.044,752.256,31278200000.0,883957,同花顺全A,3538,1,-3.3886,753.047,779.46,288439000000.0,20181008
2018-10-09,754.521,760.783,752.074,24985000000.0,883957,同花顺全A,3539,1,0.3722,755.85,753.047,230670000000.0,20181009
2018-10-10,756.797,761.132,751.658,25179000000.0,883957,同花顺全A,3540,1,0.3657,758.614,755.85,235266000000.0,20181010
2018-10-11,735.003,735.84,696.66,43118000000.0,883957,同花顺全A,3541,1,-7.5979,700.975,758.614,358094000000.0,20181011
2018-10-12,693.499,698.48,667.897,37954100000.0,883957,同花顺全A,3542,1,-0.8928,694.717,700.975,308528000000.0,20181012
2018-10-15,696.016,702.421,685.309,27575800000.0,883957,同花顺全A,3543,1,-1.2519,686.02,694.717,238501000000.0,20181015
2018-10-16,685.67,691.543,668.912,27653700000.0,883957,同花顺全A,3544,1,-1.9386,672.721,686.02,235739000000.0,20181016
2018-10-17,680.788,684.577,664.002,30075000000.0,883957,同花顺全A,3545,1,0.9387,679.036,672.721,258296000000.0,20181017
2018-10-18,674.458,674.458,656.452,28741100000.0,883957,同花顺全A,3546,1,-3.1889,657.382,679.036,239469000000.0,20181018
2018-10-19,646.235,671.79,643.632,33120100000.0,883957,同花顺全A,3547,1,2.131,671.391,657.382,286308000000.0,20181019
2018-10-22,678.378,711.077,678.378,46875700000.0,883957,同花顺全A,3548,1,5.0453,705.265,671.391,421557000000.0,20181022
2018-10-23,705.502,709.213,692.6,39897500000.0,883957,同花顺全A,3549,1,-1.2658,696.338,705.265,357304000000.0,20181023
2018-10-24,693.003,704.908,691.584,34269000000.0,883957,同花顺全A,3550,1,0.1837,697.617,696.338,296908000000.0,20181024
2018-10-25,676.05,694.383,672.403,35249600000.0,883957,同花顺全A,3551,1,-0.6323,693.206,697.617,291868000000.0,20181025
2018-10-26,697.523,704.583,694.206,34232500000.0,883957,同花顺全A,3552,1,0.5193,696.806,693.206,281194000000.0,20181026
2018-10-29,694.489,695.219,683.763,28703900000.0,883957,同花顺全A,3553,1,-1.3886,687.13,696.806,250660000000.0,20181029
2018-10-30,685.187,699.057,678.063,35454100000.0,883957,同花顺全A,3554,1,1.2753,695.893,687.13,310129000000.0,20181030
2018-10-31,697.007,710.742,696.833,37454600000.0,883957,同花顺全A,3555,1,1.5889,706.95,695.893,314635000000.0,20181031
2018-11-01,710.999,721.15,710.341,43485900000.0,883957,同花顺全A,3556,1,0.5602,710.91,706.95,381897000000.0,20181101
2018-11-02,719.922,731.005,719.337,49194300000.0,883957,同花顺全A,3557,1,2.8267,731.005,710.91,450125000000.0,20181102
2018-11-05,730.893,740.306,726.433,45236900000.0,883957,同花顺全A,3558,1,0.8524,737.236,731.005,392827000000.0,20181105
2018-11-06,734.465,735.554,725.893,37326400000.0,883957,同花顺全A,3559,1,-0.239,735.474,737.236,313274000000.0,20181106
2018-11-07,735.277,742.509,733.303,39762500000.0,883957,同花顺全A,3560,1,-0.2238,733.828,735.474,336864000000.0,20181107
2018-11-08,737.857,741.282,732.45,36792400000.0,883957,同花顺全A,3561,1,-0.0861,733.196,733.828,296027000000.0,20181108
2018-11-09,730.062,736.466,728.416,34537200000.0,883957,同花顺全A,3562,1,-0.172,731.935,733.196,273742000000.0,20181109
2018-11-12,731.664,753.819,731.401,42219000000.0,883957,同花顺全A,3563,1,2.9899,753.819,731.935,338128000000.0,20181112
2018-11-13,746.233,773.174,744.899,60143900000.0,883957,同花顺全A,3564,1,2.0392,769.191,753.819,454858000000.0,20181113
2018-11-14,769.184,778.309,767.139,55240100000.0,883957,同花顺全A,3565,1,-0.0049,769.153,769.191,410614000000.0,20181114
2018-11-15,769.619,783.995,769.602,48809800000.0,883957,同花顺全A,3566,1,1.9297,783.995,769.153,402795000000.0,20181115
2018-11-16,784.912,795.956,783.397,55845800000.0,883957,同花顺全A,3567,1,1.0485,792.215,783.995,475092000000.0,20181116
2018-11-19,791.606,796.041,784.589,52480500000.0,883957,同花顺全A,3568,1,0.4829,796.041,792.215,438525000000.0,20181119
2018-11-20,789.269,792.682,774.275,50015700000.0,883957,同花顺全A,3569,1,-2.6908,774.621,796.041,421461000000.0,20181120
2018-11-21,765.393,781.428,764.526,42240300000.0,883957,同花顺全A,3570,1,0.8786,781.427,774.621,346645000000.0,20181121
2018-11-22,783.725,786.683,779.444,37258600000.0,883957,同花顺全A,3571,1,0.1591,782.67,781.427,304326000000.0,20181122
2018-11-23,781.423,781.742,745.896,45315200000.0,883957,同花顺全A,3572,1,-4.4817,747.593,782.67,355971000000.0,20181123
2018-11-26,745.557,753.204,742.182,31231600000.0,883957,同花顺全A,3573,1,-0.2798,745.501,747.593,254222000000.0,20181126
2018-11-27,750.082,754.99,746.057,30337700000.0,883957,同花顺全A,3574,1,0.8062,751.511,745.501,250287000000.0,20181127
2018-11-28,751.493,760.555,740.504,36265300000.0,883957,同花顺全A,3575,1,1.2033,760.554,751.511,291793000000.0,20181128
2018-11-29,763.529,764.819,741.478,37457600000.0,883957,同花顺全A,3576,1,-2.508,741.479,760.554,310262000000.0,20181129
2018-11-30,738.93,747.496,730.087,32508900000.0,883957,同花顺全A,3577,1,0.6946,746.629,741.479,266617000000.0,20181130
2018-12-03,763.694,773.588,761.094,47141900000.0,883957,同花顺全A,3578,1,3.2236,770.697,746.629,422399000000.0,20181203
2018-12-04,769.596,777.495,768.065,39108500000.0,883957,同花顺全A,3579,1,0.8821,777.495,770.697,329852000000.0,20181204
2018-12-05,762.365,775.766,760.266,37789900000.0,883957,同花顺全A,3580,1,-0.7796,771.434,777.495,321694000000.0,20181205
2018-12-06,768.367,770.332,757.105,34929500000.0,883957,同花顺全A,3581,1,-1.762,757.841,771.434,310507000000.0,20181206
2018-12-07,758.908,761.879,755.298,27507100000.0,883957,同花顺全A,3582,1,0.1384,758.89,757.841,240313000000.0,20181207
2018-12-10,753.459,755.049,746.706,27828800000.0,883957,同花顺全A,3583,1,-1.2699,749.253,758.89,239824000000.0,20181210
2018-12-11,751.285,756.256,750.854,26061100000.0,883957,同花顺全A,3584,1,0.9347,756.256,749.253,218304000000.0,20181211
2018-12-12,758.249,759.98,754.562,26470300000.0,883957,同花顺全A,3585,1,0.0603,756.712,756.256,222407000000.0,20181212
2018-12-13,758.179,767.469,753.237,34673300000.0,883957,同花顺全A,3586,1,0.885,763.409,756.712,304228000000.0,20181213
2018-12-14,761.937,762.067,743.37,34389300000.0,883957,同花顺全A,3587,1,-2.5579,743.882,763.409,291639000000.0,20181214
2018-12-17,740.733,744.63,734.653,27593700000.0,883957,同花顺全A,3588,1,0.1004,744.629,743.882,237962000000.0,20181217
2018-12-18,740.631,746.039,733.282,27188500000.0,883957,同花顺全A,3589,1,-0.6262,739.966,744.629,229803000000.0,20181218
2018-12-19,740.562,741.262,729.945,25248900000.0,883957,同花顺全A,3590,1,-1.1901,731.16,739.966,216849000000.0,20181219
2018-12-20,729.305,735.537,728.09,27264200000.0,883957,同花顺全A,3591,1,0.5222,734.978,731.16,230827000000.0,20181220
2018-12-21,732.411,733.754,724.616,27512100000.0,883957,同花顺全A,3592,1,-0.689,729.914,734.978,236061000000.0,20181221
2018-12-24,728.898,736.537,727.414,24014900000.0,883957,同花顺全A,3593,1,0.9071,736.535,729.914,213189000000.0,20181224
2018-12-25,729.165,729.582,710.276,33577900000.0,883957,同花顺全A,3594,1,-1.1345,728.179,736.535,275733000000.0,20181225
2018-12-26,727.478,731.65,725.946,26803600000.0,883957,同花顺全A,3595,1,-0.1354,727.193,728.179,231146000000.0,20181226
2018-12-27,736.424,737.997,715.466,31076300000.0,883957,同花顺全A,3596,1,-1.6126,715.466,727.193,263631000000.0,20181227
2018-12-28,716.248,721.19,711.997,27427900000.0,883957,同花顺全A,3597,1,0.059,715.888,715.466,239168000000.0,20181228
